类型,ID,章节,难度,题目内容,行号
练习题,15.5-2,第15章 动态规划,normal,对有 $n = 7 $个关键字以及如下概率的集合，确定一棵最优二叉查找树的代价和结构： <table><tr><td>i</td><td>0</td><td>1</td><td>2</td><td>3...,8161
练习题,15.5-3,第15章 动态规划,normal,"假设不维护表 $w[i, j] $，我们在 OPTIMAL-BST 的第 8 行直接从公式 (15.17) 计算 $w(i, j) $的值，并在第 10 行是用这个计算的值。这个改变对 OPTIMAL...",8165
练习题,16.1-1,第16章 贪心算法,normal,"根据递归式(16.3)，给出活动选择问题的动态规划算法。要求算法能根据上面的定义计算出 $c[i, j] $的大小，而且产生出活动的最大子集 $A $。假设输入已根据公式(16.1)排序，请比较你的算...",8436
练习题,16.1-2,第16章 贪心算法,normal,假设不再总是选择第一个结束的活动，而是选择最后一个开始、且与之前选人活动兼容的活动。试说明这种方式如何成为一个贪心算法，并证明它能得到一个最优解。,8437
练习题,16.1-3,第16章 贪心算法,normal,假设要用很多个教室对一组活动进行调度。我们希望使用尽可能少的教室来调度所有的活动。请给出一个有效的贪心算法，来确定哪一个活动应使用哪一个教室。 （这个问题也被称为区间图着色（interval-grap...,8438
练习题,16.1-4,第16章 贪心算法,normal,并不是任何用来解决活动选择问题的贪心算法都能给出兼容活动的最大集合。请给出一个例子，说明那种在与已选出的活动兼容的活动中选择生存期最短的方法是行不通的。对那种总是选择与余下的活动重叠最少的活动的做法，...,8442
练习题,16.2-1,第16章 贪心算法,normal,证明部分背包问题具有贪心选择性质。,8516
练习题,16.2-2,第16章 贪心算法,normal,请给出一个解决0-1背包问题的运行时间为 $O(nW) $的动态规划方法，其中， $n $为物品数的件数， $W $为窃贼可放入他的背包中的物品中的最大重量。,8517
练习题,16.2-3,第16章 贪心算法,normal,假设在0-1背包问题中，按递增重量所排的物品的次序与按递减价值所排的次序一样。请给出此背包问题变体的最优解的有效算法，并说明其正确性。,8518
练习题,16.2-4,第16章 贪心算法,normal,Midas 教授从 Newark 开一辆车沿着 80 号洲际公路到 Reno。他车子的油箱在满的时候，可以存放够跑 $n $英里的汽油，并且他的地图标出了在他的路途中加油站之间的距离。教授希望在路途中...,8519
练习题,16.2-5,第16章 贪心算法,normal,"请描述一个有效的算法，使之对给定的一实数轴上的点集 $\{x_{1}, x_{2}, \dots, x_{n}\} $，能确定包含所有给定点的最小的单位闭区间集合。证明所给出的算法的正确性。",8520
练习题,*16.2-6,第16章 贪心算法,hard,假设已知思考题9-2的解，说明如何在 $O(n) $时间内解决部分背包问题。,8521
练习题,16.2-7,第16章 贪心算法,normal,假设有两个集合 $A $和 $B $，并且每个集合都包含 $n $个正整数。你可以按自己的意愿将集合重新排序。在重新排序后，设 $a_{i} $为集合 $A $的第 $i $个元素， $b_{i} $...,8522
练习题,16.3-1,第16章 贪心算法,normal,证明：一棵不满的二叉树不可能与一种最优前缀编码对应。,8680
练习题,16.3-2,第16章 贪心算法,normal,对下面的频度集合（基于前8个斐波那契数），其最优的赫夫曼编码是什么？ a:1 b:1 c:2 d:3 e:5 f:8 g:13 h:21 能将答案推广到前 $n $个斐波那契数吗？,8681
练习题,16.3-3,第16章 贪心算法,normal,证明：对应于某种编码的树的总代价也能通过计算所有内结点的两子结点的频度之和而得到。,8687
练习题,16.3-4,第16章 贪心算法,normal,证明：对一字母表的字符按其频度的单调递减顺序排序，则存在一个编码长度单调递增的最优编码。,8688
练习题,16.3-5,第16章 贪心算法,normal,"假设有一个字母表 $C = \{0, 1, \dots, n - 1\} $上的最优前缀编码，我们想用尽可能少的位来传输。证明： $C $上的任意一个最优前缀编码都可由 $2n - 1 + n \lc...",8689
练习题,16.3-6,第16章 贪心算法,normal,将赫夫曼编码推广至三进制编码（亦即，用符号0，1，2来编码），并证明它能产生最优编码。,8690
练习题,16.3-7,第16章 贪心算法,normal,假设某一数据文件包含一系列的8位字符，且所有256个字符的频度都差不多：最大字符频度不到最小字符频度的两倍。证明：这种情况下赫夫曼编码的效率与普通的8位固定长度编码就差不多了。,8691
练习题,16.3-8,第16章 贪心算法,normal,证明：没有一种数据压缩方案能对包含随机选择的8位字符的文件作任何压缩。（提示：将文件数与可能的编码文件数进行比较。）,8692
练习题,16.4-1,第16章 贪心算法,normal,"证明： $(S, \ell_k) $为一个拟阵，其中 $S $为任一有限集合， $\ell_k $为 $S $的所有大小至多为 $k $的子集构成的集合， $k \leqslant |S| $。",8820
练习题,*16.4-2,第16章 贪心算法,hard,"给定一个 $m \times n $的某域(如实数)上的矩阵 $T $, 证明 $(S, \ell) $是个拟阵, 其中 $S $为 $T $的所有列构成的集合, 且 $A \in \ell $当且仅...",8821
练习题,*16.4-4,第16章 贪心算法,hard,"设 $S $为一个有穷集合，且 $S_{1}, S_{2}, \cdots, S_{k} $为将 $S $分成非空的不相交子集的一个划分。结构 $(S, \ell) $由条件 $\ell = \{A:...",8823
练习题,16.4-5,第16章 贪心算法,normal,说明在最优解为具有最小权值的最大独立子集的加权拟阵问题中，如何改造其权值函数，使之成为一个标准的加权拟阵问题。另请证明所做的改造是正确的。,8824
练习题,16.5-1,第16章 贪心算法,normal,解图 16-7 中调度问题的实例，但要将每个惩罚 $w_{i} $替换成 $80 - w_{i} $。,8885
练习题,16.5-2,第16章 贪心算法,normal,说明如何利用引理16.12的性质2在 $O(|A|) $时间内，确定一个给定的任务集 $A $是否是独立的。,8886
练习题,17.1-1,第17章 平摊分析,normal,如果一组栈操作中包括了一次MULTIPUSH操作，它一次把 $k $个元素压入栈内，那么栈操作的平摊代价的界 $O(1) $是否还能保持？,9033
练习题,17.1-2,第17章 平摊分析,normal,证明：在 $k $位计数器的例子中，如果包含一个DECREMENT操作， $n $个操作可能花费 $\Theta (nk) $时间。,9035
练习题,17.1-3,第17章 平摊分析,normal,对某个数据结构执行 $n $个操作的一个序列。如果 $i $为 2 的整数幂，则第 $i $个操作的代价为 $i $，否则为 1。请利用聚集分析来确定每次操作的平摊代价。,9037
练习题,17.2-1,第17章 平摊分析,normal,对一个大小始终不超过 $k $的栈上执行一系列的栈操作。在每 $k $个操作后，复制整个栈的内容以留作备份。证明：在对各种栈操作赋予合适的平摊代价后， $n $个栈操作（包括复制栈的操作）的代价为 $...,9091
练习题,17.2-2,第17章 平摊分析,normal,利用记账方法的分析重做练习17.1-3。,9092
练习题,17.2-3,第17章 平摊分析,normal,假设我们希望不仅能使一个计数器增值，也能使之复位至零（即，使其中所有的位都为0）。请说明如何将一个计数器实现为一个位数组，使得对一个初始为零的计数器，任一个包含 $n $个 INIncrement 和...,9093
练习题,17.3-1,第17章 平摊分析,normal,假设有势函数 $\Phi $，使得对所有的 $i $都有 $\Phi(D_i) \geqslant \Phi(D_0) $，但是 $\Phi(D_0) \neq 0 $。证明：存在一个势函数 $\Ph...,9195
练习题,17.3-2,第17章 平摊分析,normal,用势能方法的分析重做练习17.1-3。,9196
练习题,17.3-3,第17章 平摊分析,normal,考虑一个包含 $n $个元素的普通二叉最小堆数据结构，它支持最坏情况时间代价为 $O(\lg n) $的操作 INSERT 和 EXTRACT-MIN。请给出一个势函数 $\Phi $，使得 INSE...,9197
练习题,17.3-4,第17章 平摊分析,normal,假设某个栈在执行 $n $个栈操作 PUSH、POP 和 MULTIPOP 之前包含 $s_0 $个对象，结束后包含 $s_n $个对象，则这 $n $个栈操作的总代价是多少？,9199
练习题,17.3-5,第17章 平摊分析,normal,假设一个计数器的二进制表示中在开始时有 $b $个1，而不是0。证明：如果 $n = \Omega (b) $，则执行 $n $次INIncrement操作的代价为 $O(n) $。（不能假设 $b ...,9200
练习题,17.3-6,第17章 平摊分析,normal,说明如何用两个普通的栈来实现一个队列（练习10.1-6），使得每个ENQUEUE和DEQUEUE操作的平摊代价都为 $O(1) $。,9201
练习题,17.3-7,第17章 平摊分析,normal,"设计一个数据结构来支持整数集合 $S $上的下列两个操作： INSERT(S, x) 将 $x $插入 S 中。 DELETE-LARGER-HALF(S) 删除 S 中最大的[S/2]个元素。 解释...",9202
练习题,17.4-1,第17章 平摊分析,normal,假设我们希望实现一个动态开放地址散列表。当表的装载因子达到某个严格小于 1 的数 $\alpha $时，就可以认为表满了，这是为什么？请简要说明如何对一个动态的开放地址散列表进行插入，使得每个插入操作...,9366
练习题,17.4-2,第17章 平摊分析,normal,证明：如果作用于一动态表上的第 $i $个操作是 TABLE-DELETE，且 $\alpha_{i-1} \geqslant 1/2 $，则以势函数(17.6)表示的每个操作的平摊代价由一个常数从上...,9367
练习题,17.4-3,第17章 平摊分析,normal,假设当某个表的装载因子降至 $1 / 4 $以下时，我们不是通过将其大小缩小一半来收缩，而是在表的装载因子低于 $1 / 3 $时，通过将其大小乘以 $2 / 3 $来进行收缩。利用势函数 $ $\P...,9368
练习题,18.1-1,第18章B 树,normal,为什么不允许B树的最小度数 $t $为1？,9643
练习题,18.1-2,第18章B 树,normal, $t $应取什么样的值，才能使图18-1中的树是棵合法的B树？,9644
练习题,18.1-3,第18章B 树,normal,"请给出表示 $\{1,2,3,4,5\} $的最小度数为2的所有合法的B树。",9645
练习题,18.1-4,第18章B 树,normal,一个高度为 $h $的B树中，可以存储最多多少个关键字？用最小度数 $\pmb{t} $的函数表示。,9646
练习题,18.1-5,第18章B 树,normal,如果红黑树中的每个黑结点吸收它的红子女，并把它们的子女并入自身，描述这个结果的数据结构。,9647
练习题,18.2-1,第18章B 树,normal,"请给出将关键字 $F, S, Q, K, C, L, H, T, V, W, M, R, N, P, A, B, X, Y, D, Z, E $依序插入一棵最小度数为 2 的空的 B 树的结果。只要画...",9809
练习题,18.2-2,第18章B 树,normal,请解释在什么情况下（如果有的话），在调用B-TREE-INSERT的过程中，会执行冗余的 DISK-READ或DISK-WRITE操作。（所谓冗余的DISK-READ是指对已在主存中的某页做DISK-...,9810
练习题,18.2-3,第18章B 树,normal,请解释如何在一棵B树中，寻找最小关键字和树中某一给定关键字的前驱。,9811
练习题,*18.2-4,第18章B 树,hard,"假设关键字 $\{1, 2, \cdots, n\} $被插入一个最小度数为 2 的空 B 树中。最终的 B 树有多少个结点？",9812
练习题,18.2-5,第18章B 树,normal,因为叶结点无需指向子女的指针，对同样大小的磁盘页，可选用一个与内结点不同的（更大的） $t $值。请说明如何修改B树的创建和插入的程序来处理这个变形。,9813
练习题,18.2-6,第18章B 树,normal,假设B-TREE-SEARCH的实现是在每个结点处采用二叉查找，而不是线性查找。证明无论怎样选择 $t $（ $t $为 $n $的函数），这种实现所需的CPU时间都为 $O(\lg n) $。,9814
练习题,18.2-7,第18章B 树,normal,假设磁盘硬件允许我们任意选择磁盘页的大小，但读取磁盘页的时间为 $a + bt $，其中 $a $和 $b $为规定的常数， $t $为确定磁盘页的大小后，B 树的最小度数。请描述如何选择 $t $以...,9815
练习题,18.3-1,第18章B 树,normal,请说明按顺序从图18-8f中删除 $C $， $P $和 $V $后的结果。,9856
练习题,18.3-2,第18章B 树,normal,请写出B-TREE-BLATE的伪代码。,9857
练习题,19.1-1,第19章 二项堆,normal,假设 $x $为一个二项堆中，某棵二项树中的一个结点，并假定 $sibling[x] \neq NIL $。如果 $x $不是根，则 degree[sibling[x]] 与 degree[x] 相比...,10002
练习题,19.1-2,第19章 二项堆,normal,如果 $x $是二项堆的某棵二项树的一个非根结点，degree[p[x]]与degree[x]相比怎样？,10004
练习题,19.1-3,第19章 二项堆,normal,如图19-4所示，假设按后序遍历顺序，将二项树 $B_{k} $中的结点标为二进制形式。考虑深度 $i $处标为 $l $的一个结点 $x $，且设 $j = k - i $。证明：在 $x $的二进...,10006
练习题,19.2-2,第19章 二项堆,normal,请给出将关键字为24的结点插入如图19-7d中所示的二项堆后，所得的结果二项堆。,10224
练习题,19.2-3,第19章 二项堆,normal,请给出将关键字为28的结点从图19-8c中的二项堆中删除后的结果。,10225
练习题,19.2-4,第19章 二项堆,normal,讨论使用如下循环不变式时BINOMIAL-HEAP-UNION的正确性。 在第 $9\sim 21 $行每一次while循环迭代开始时， $\pmb{x} $指向下列之一的根： - 该度数下唯一的根；...,10226
练习题,19.2-5,第19章 二项堆,normal,请解释，如果关键字的值可以是 $\infty $，为什么过程BINOMIAL-HEAP-MINIMUM可能无法正确工作？重写这个过程的伪代码，使之在这种情况下也能正常工作。,10236
练习题,19.2-6,第19章 二项堆,normal,假设无法表示出关键字 $-\infty $。重写BINOMIAL-HEAP-DELETE过程，使之在这种情况下能正确地工作。运行时间仍应为 $O(\lg n) $。,10237
练习题,19.2-7,第19章 二项堆,normal,讨论二项堆上的插入与一个二进制数增值的关系，以及合并两个二项堆与将两个二进制数相加之间的关系。,10238
练习题,19.2-8,第19章 二项堆,normal,根据练习 19.2-7，在不调用BINOMIAL-HEAP-UNION的前提下，重写BINOMIAL-HEAP-INSERT，将一个结点直接插入一个二项堆中。,10239
练习题,19.2-9,第19章 二项堆,normal,证明：如果将根表按度数排成严格递减序（而不是严格递增序）保存，仍可以在不改变渐近运行时间的前提下实现每一种二项堆操作。,10240
练习题,19.2-10,第19章 二项堆,normal,请找出使BINOMIAL-HEAP-EXTRACT-MIN、BINOMIAL-HEAP-DECREASE-KEY以及BINOMIAL-HEAP-DELETE的运行时间为 $\Omega (\lg n)...,10241
练习题,20.2-1,第20章 斐波那契堆,normal,请给出对图 $20 - 3\mathrm{m} $中所示的斐波那契堆调用FIB-HEAP-EXTRACT-MIN后得到的斐波那契堆。,10561
练习题,20.2-2,第20章 斐波那契堆,normal,证明：引理19.1对无序二项树也成立，但要将性质4换成性质 $4^{\prime} $。,10562
练习题,20.2-3,第20章 斐波那契堆,normal,证明：如果仅需支持可合并堆操作，则在包含 $n $个结点的斐波那契堆中结点的最大度数 $D(n) $至多为 $\lfloor \lg n\rfloor $。,10563
练习题,20.2-4,第20章 斐波那契堆,normal,McGee 教授设计了一种新的基于斐波那契堆的数据结构。McGee 堆与斐波那契堆具有相同的结构，也支持可合并堆操作。各操作的实现与斐波那契堆中的相同，只是插入和合并在最后的步骤中做合并调整。McGe...,10564
练习题,20.2-5,第20章 斐波那契堆,normal,论证：如果对关键字的唯一操作是比较两个关键字（如本章的所有实现中的情况），则并非所有的可合并堆操作都有 $O(1) $的平摊运行时间。,10565
练习题,20.3-1,第20章 斐波那契堆,normal,假设一个斐波那契堆中的某个根 $x $是有标记的。请解释 $x $是如何成为有标记的根。另说明 $x $有无标记对分析来说没有影响，即使它不是先被链接到另一个结点，然后又失去一个子结点的根。,10665
练习题,20.3-2,第20章 斐波那契堆,normal,使用聚集分析来证明FIB-HEAP-DECREASE-KEY的平摊时间 $O(1) $是每个操作的平均代价。,10666
练习题,20.4-1,第20章 斐波那契堆,normal,Pinocchio教授声称，包含 $n $个结点的斐波那契堆的高度为 $O(\lg n) $。请证明他是错的，即对于任意正整数 $n $，给出一个斐波那契堆操作序列，它创建一个仅包含一棵树的堆，该树是...,10738
练习题,20.4-2,第20章 斐波那契堆,normal,假设我们将级联切断规则加以推广，使得当某个结点 $x $一失去其第 $k $个孩子时，就将其与父结点的联系切断，此处 $k $为常整数(20.3节的规则中 $k = 2 $)。 $k $取什么值时，有...,10740
练习题,21.1-1,第21章 用于不相交集合的数据结构,normal,"假设 CONNECTED-COMPONENTS作用于一个无向图 $G = (V, E) $，此处 $V = \{a, b, c, d, e, f, g, h, i, j, k\} $，并且以如下次序对...",10844
练习题,21.1-2,第21章 用于不相交集合的数据结构,normal,证明：在 CONNECTED-COMPONENTS处理了所有的边后，两个顶点在同一个连通子图中，当且仅当它们在同一个集合中。,10846
练习题,21.1-3,第21章 用于不相交集合的数据结构,normal,"在 CONNECTED-COMPONENTS作用于一个包含 $k $个连通子图的无向图 $G = (V, E) $的过程中，要调用FIND-SET多少次？要调用UNION多少次？用 $|V| $、 $...",10848
练习题,21.2-1,第21章 用于不相交集合的数据结构,normal,请写出采用链表表示和加权合并启发式策略时，MAKE-SET、FIND-SET 和 UNION 操作的伪代码。假定每个对象 $x $都有一个属性 $rep[x] $，它指向 $x $所在集合的代表；每个...,10892
练习题,21.2-2,第21章 用于不相交集合的数据结构,normal,请给出下面的程序中，执行 FIND-SET 操作后的数据结构及返回的答案。采用加权合并启发式策略的链表表示。 ```latex 1 for $i\gets 1 $to 16 2 do MAKE-SET...,10893
练习题,21.2-3,第21章 用于不相交集合的数据结构,normal,对定理 21.1 的证明加以改造，使得 MAKE-SET 和 FIND-SET 操作有平摊时间界 $O(1) $。对于采用了链表表示和加权合并启发式策略的 UNION 操作，有界 $O(\lg n) ...,10911
练习题,21.2-4,第21章 用于不相交集合的数据结构,normal,对于图 21-3 中操作序列的运行时间，给出其精确的渐近界。假定采用的是链表表示和加权合并启发式策略。,10912
练习题,21.2-5,第21章 用于不相交集合的数据结构,normal,当采用链表表示时，给出对UNION的一个简单改动，使得无需让tail指针指向每个链表中的最后一个对象。无论是否采用了加权合并启发式策略，你所做的修改不应改变UNION过程的渐近运行时间。（提示：不要将...,10913
练习题,21.3-1,第21章 用于不相交集合的数据结构,normal,用按秩合并和路径压缩启发式的不相交集合森林来重做练习21.2-2。,10977
练习题,21.3-2,第21章 用于不相交集合的数据结构,normal,写出 FIND-SET 的路径压缩的非递归版本。,10978
练习题,21.3-3,第21章 用于不相交集合的数据结构,normal,请给出一个包含 $m $个MAKE-SET、UNION 和 FIND-SET 操作的序列（其中 $n $个是MAKE-SET 操作），使得采用按秩合并时，这一操作序列的时间代价为 $\Omega(m ...,10979
练习题,*21.3-4,第21章 用于不相交集合的数据结构,hard,证明：在采用了按秩合并和路径压缩时，任意一个包含 $m $个MAKE-SET、FIND-SET 和 LINK 操作的序列（其中所有 LINK 操作出现于 FIND-SET 操作之前）需要 $O(m) ...,10980
练习题,21.4-1,第21章 用于不相交集合的数据结构,normal,证明引理21.4。,11235
练习题,21.4-2,第21章 用于不相交集合的数据结构,normal,证明：每个结点的秩都至多为 $\lfloor \lg n\rfloor $,11236
练习题,21.4-3,第21章 用于不相交集合的数据结构,normal,根据练习 21.4-2 的结论，对每个结点 $x $，存储 $\text{rank}[x] $需要多少位(bit)?,11237
练习题,21.4-4,第21章 用于不相交集合的数据结构,normal,利用练习 21.4-2 的结果，对于带按秩合并、但不带路径压缩的不相交集合上的操作，简要地证明其运行时间为 $O(m \lg n) $。,11238
练习题,21.4-5,第21章 用于不相交集合的数据结构,normal,Dante教授认为，因为各结点的秩在一条指向根的路径上是严格递增的，故各结点的级别在该路径上应该是单调递增的。换句话说，如果 $\text{rank}(x) > 0 $，并且 $p[x] $不是一个根...,11239
练习题,21.4-6,第21章 用于不相交集合的数据结构,normal,考虑函数 $\alpha'(n) = \min \{k; A_k(1) \geqslant \lg (n + 1)\} $。证明：对于 $n $的所有实际取值，有 $\alpha'(n) \leqsl...,11240
练习题,22.1-1,第22章 图的基本算法,normal,给定一个有向图的邻接表表示，计算该图中每个顶点的出度需要多少时间？计算每个顶点的入度需要多少时间？,11407
练习题,22.1-2,第22章 图的基本算法,normal,给出一个包含7个顶点的完全二叉树的邻接表表示，写出其等价的邻接矩阵表示。假设各个顶点如在一个二项堆中一样，从1到7进行编号。,11408
练习题,22.1-3,第22章 图的基本算法,normal,"有向图 $G = (V, E) $的转置是图 $G^{\mathrm{T}} = (V, E^{\mathrm{T}}) $，其中 $E^{\mathrm{T}} = \{(v, u) \in V \...",11409
练习题,22.1-4,第22章 图的基本算法,normal,"给定一个多重图 $G = (V, E) $的邻接表表示，给出一个具有 $O(V + E) $时间的算法，来计 算其“等价”的无向图 $G^{\prime} = (V,E^{\prime}) $的邻接表...",11410
练习题,22.1-5,第22章 图的基本算法,normal,"有向图 $G = (V, E) $的平方是图 $G^2 = (V, E^2) $，该图满足下列条件： $(u, w) \in E^2 $当且仅当对 $v \in V $，有 $(u, v) \in E...",11414
练习题,22.1-6,第22章 图的基本算法,normal,当采用邻接矩阵表示时，大多数图算法需要的时间都是 $\Omega(V^2) $，但也有一些例外。证明在给定了一个有向图 $G $的邻接矩阵后，可以在 $O(V) $时间内，确定 $G $中是否包含一个...,11415
练习题,22.1-7,第22章 图的基本算法,normal,"有向图 $G = (V, E) $的关联矩阵 $B = (b_{ij}) $是一个 $|V| \times |E| $的矩阵，它满足下列条件： $ $b _ {i j} = \left\{ \begi...",11416
练习题,22.1-8,第22章 图的基本算法,normal,"假设每个数组元素 $Adj[u] $采用的不是链表，而是一个包含了所有满足 $(u, v) \in E $的顶点 $v $的散列表。如果所有的边查找都是等可能的，则确定某条边是否在图中所需的期望时间是...",11424
练习题,22.2-1,第22章 图的基本算法,normal,对于图 22-2a 中所示的有向图，当指定源顶点为 3 时运行广度优先搜索算法，说明所得的 $d $和 $\pi $值是什么。,11587
练习题,22.2-2,第22章 图的基本算法,normal,对于图 22-3 中所示的无向图，当指定源顶点为 $u $时运行广度优先搜索算法，说明所得的 $d $和 $\pi $值是什么。,11588
练习题,22.2-3,第22章 图的基本算法,normal,如果BFS的输入图是用邻接矩阵表示的，且对该算法加以修改以处理这种输入图表示，那么该算法的运行时间如何？,11589
练习题,22.2-4,第22章 图的基本算法,normal,试证明在广度优先搜索算法中，赋给顶点 $u $的值 $d[u] $与顶点在邻接表中的次序无关。利用图22-3作为例子，说明由BFS计算出来的广度优先树与邻接表中的顺序是有关的。,11590
练习题,22.2-5,第22章 图的基本算法,normal,"举例说明，在有向图 $G = (V, E) $中，源顶点 $s \in V $，且树边集合 $E_{\pi} \subseteq E $满足对每一顶点 $v \in V $，图 $(V, E_{\pi...",11591
练习题,22.2-6,第22章 图的基本算法,normal,有两种类型的职业摔跤手：一种是“好选手”，另一种是“差选手”。对于任何一对职业摔跤手来说，他们中可能有、也可能没有比赛。假定有 $n $位职业摔跤手，并且有一份清单，上面列出了 $r $对参加比赛的摔...,11592
练习题,22.2-8,第22章 图的基本算法,normal,"设 $G = (V, E) $是一个连通的无向图。请给出一个 $O(V + E) $时间的算法，以计算图 $G $中 的一条路径，对于 $E $中的每一条边，该路径都恰好在每一个方向上遍历一次。如果你...",11594
练习题,22.3-1,第22章 图的基本算法,normal,"画一个 $3 \times 3 $的图，图中行和列分别标上白(WHITE)、灰(GRAY)、黑(BLACK)。对每个单元 $(i, j) $，试说明在对一个有向图进行深度优先搜索过程中的任何时刻，是否...",11785
练习题,22.3-2,第22章 图的基本算法,normal,说明深度优先搜索在图22-6上是如何进行的。假定DFS过程的第 $5\sim 7 $行for循环按字母表顺序考察各个顶点，并假定每个邻接表都是按字母顺序排序的。说明每个顶点的发现和完成时间，并给出每条...,11786
练习题,22.3-3,第22章 图的基本算法,normal,对图22-4中所示的深度优先搜索，给出其括号结构。,11791
练习题,22.3-4,第22章 图的基本算法,normal,"证明：边 $(u, v) $是一条： a)树边或前向边，当且仅当 $d[u] < d[v] < f[v] < f[u] $b)反向边，当且仅当 $d[v] < d[u] < f[u] < f[v] $...",11792
练习题,22.3-5,第22章 图的基本算法,normal,"证明：在一个无向图中，如果是根据在深度优先搜索中， $(u, v) $和 $(v, u) $哪一个首先被遇到作为标准来将 $(u, v) $归类为树边或反向边的话，就等价于根据边分类方案中的各类型的优...",11798
练习题,22.3-6,第22章 图的基本算法,normal,重写过程DFS，利用一个栈来消除递归。,11799
练习题,22.3-7,第22章 图的基本算法,normal,对于“在一个有向图 $G $中，如果有一条从 $\pmb{u} $到 $\pmb{\nu} $的路径，并且，在对 $G $的深度优先搜索中，如果有 $d[u] < d[v] $，则在所得到的深度优先森...,11800
练习题,22.3-8,第22章 图的基本算法,normal,对于“在一个有向图 $G $中，如果有一条从 $\pmb{u} $到 $\pmb{v} $的路径，则任何深度优先搜索都必定能得到 $d[v] \leqslant f[u] $”这一推测，给出它的一个反...,11801
练习题,22.3-9,第22章 图的基本算法,normal,修改深度优先搜索的伪代码，输出有向图 $G $中的每一条边及其类型。如果 $G $是无向图，说明需要做出哪些改动（如果需要的话）。,11803
练习题,22.3-10,第22章 图的基本算法,normal,解释在有向图中，对于一个顶点 $u $（即使 $u $在 $G $中既有人边又有出边），是如何会最终落到一棵仅包含 $u $的深度优先树中的。,11804
练习题,22.3-11,第22章 图的基本算法,normal,证明：对无向图 $G $的深度优先搜索可以用来识别出 $G $的连通分支，且深度优先森林中所包含的树的数量与 $G $中的连通分支的数量一样多。更精确地，说明如何修改深度优先搜索算法，使得每个顶点 $...,11805
练习题,22.4-1,第22章 图的基本算法,normal,在练习22.3-2的假设下，说明TOPOLOGICAL-SORT运行于图22-8中所示的有向无回路图上时，所产生的顶点顺序。,11843
练习题,22.4-2,第22章 图的基本算法,normal,"给出一个线性时间的算法，其输入为一个有向无回路图 $G = (V, E) $和两个顶点 $s $和 $t $，返回 $G $中从 $s $到 $t $的通路数目。例如，在图 22.8 中的有向无回路图...",11844
练习题,22.4-3,第22章 图的基本算法,normal,"给出一个算法，用它来确定一个给定的无向图 $G = (V, E) $中是否包含一个回路。所给出算法的运行时间应为 $O(V) $，这一时间独立于 $|E| $。",11845
练习题,22.4-4,第22章 图的基本算法,normal,证明或反证：如果一个有向图 $G $包含回路，则 TOPOLOGICAL-SORT $(G) $能产生一个顶点的排序序列，它可以最小化“坏”边的数目。所谓坏边，即那些与所生成的顶点序列不一致的边。 !...,11846
练习题,22.4-5,第22章 图的基本算法,normal,"在一个有向无回路图 $G = (V, E) $上，执行拓扑排序的另一种方法是重复地寻找一个人度为0的顶点，将该顶点输出，并将该顶点及其所有的出边从图中删除。解释如何来实现这一想法，才能使得它的运行时间...",11851
练习题,22.5-1,第22章 图的基本算法,normal,当在一个图中加入一条新的边后，其强连通分支的数目会如何变化？,11921
练习题,22.5-2,第22章 图的基本算法,normal,说明过程 STRONGLY-CONNECTED-COMPONENTS 在图 22-6 上的工作过程。特别地，说明第 1 行中计算出来的完成时间和第 3 行中产生的森林是怎样的。假定 DFS 的第 $5...,11922
练习题,22.5-3,第22章 图的基本算法,normal,Deaver教授声称，用于强连通分支的算法可以这样简化，即在第二次深度优先搜索中使用原图（而不是其转置图），并按完成时间递增的顺序来扫描各个顶点。这位教授的说法正确吗？,11923
练习题,22.5-4,第22章 图的基本算法,normal,证明：对于任何有向图 $G $，都有 $((G^{\mathrm{T}})^{\mathrm{SCC}})^{\mathrm{T}} = G^{\mathrm{SCC}} $。亦即， $G^{\mat...,11924
练习题,22.5-5,第22章 图的基本算法,normal,"给出一个 $O(V + E) $时间的算法，以计算一个有向图 $G = (V, E) $的分支图。注意在算法产生的分支图中，两个顶点之间至多只能有一条边。",11925
练习题,22.5-6,第22章 图的基本算法,normal,"给定一个有向图 $G = (V, E) $，解释如何生成另一个图 $G' = (V, E') $，使得(a) $G' $有着与 $G $相同的强连通分支；(b) $G' $有着与 $G $相同的分支图...",11926
练习题,22.5-7,第22章 图的基本算法,normal,"在一个有向图 $G = (V, E) $，如果对所有顶点对 $u, v \in V $，都有 $u \sim v $或 $v \sim u $，则图 $G $称为半连通(semiconnected)。...",11927
练习题,23.1-1,第23章 最小生成树,normal,"设 $(u, v) $是图 $G $中的最小权边。证明： $(u, v) $属于 $G $的某一最小生成树。",12090
练习题,23.1-2,第23章 最小生成树,normal,"Sabatier教授推测定理23.1有下面这一逆定理：设 $G = (V,E) $是一个连通无向图，并在 $\pmb{E} $上定义了一个实值的权值函数 $\pmb{\omega} $。设 $A $为...",12091
练习题,23.1-3,第23章 最小生成树,normal,"证明：如果一条边 $(u, v) $被包含在某一最小生成树中，那么它就是通过图的某个割的轻边。",12092
练习题,23.1-4,第23章 最小生成树,normal,"给出一个图的例子，使得边集 $\{(u, v)\} $：存在着一个割 $(S, V - S) $，使得 $(u, v) $是一条通过 $(S, V - S) $的轻边\}不会形成一棵最小生成树。",12093
练习题,23.1-5,第23章 最小生成树,normal,"设 $e $是图 $G = (V, E) $的某个回路上的一条最大权边。证明：存在着 $G' = (V, E - \{e\}) $的一棵最小生成树，它也是 $G $的最小生成树。亦即，存在着 $G $...",12094
